FILE_VERSION	2.0.0
NO_OF_FRAMES	810
NO_OF_CAMERAS	4
NO_OF_MARKERS	5
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-01-09, 11:32:05.274	268270.80720153
DATA_INCLUDED	3D
MARKER_NAMES	Ball Butler - 1	Ball Butler - 2	Ball Butler - 3	Ball Butler - 4	Ball Butler - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured
Frame	Time	Ball Butler - 1 X	Ball Butler - 1 Y	Ball Butler - 1 Z	Ball Butler - 2 X	Ball Butler - 2 Y	Ball Butler - 2 Z	Ball Butler - 3 X	Ball Butler - 3 Y	Ball Butler - 3 Z	Ball Butler - 4 X	Ball Butler - 4 Y	Ball Butler - 4 Z	Ball Butler - 5 X	Ball Butler - 5 Y	Ball Butler - 5 Z	
1	0.00000	0.000	0.000	0.000	0.000	0.000	0.000	-589.436	-155.123	1726.711	-666.732	-86.542	1724.596	-601.629	-96.944	1724.193
2	0.00333	0.000	0.000	0.000	0.000	0.000	0.000	-589.438	-155.123	1726.701	-666.712	-86.559	1724.568	-601.646	-96.945	1724.185
3	0.00667	0.000	0.000	0.000	0.000	0.000	0.000	-589.414	-155.116	1726.707	-666.708	-86.567	1724.578	-601.648	-96.942	1724.185
4	0.01000	0.000	0.000	0.000	0.000	0.000	0.000	-589.416	-155.126	1726.717	-666.729	-86.539	1724.579	-601.633	-96.927	1724.204
5	0.01333	0.000	0.000	0.000	0.000	0.000	0.000	-589.438	-155.123	1726.701	-666.721	-86.534	1724.586	-601.652	-96.923	1724.197
6	0.01667	0.000	0.000	0.000	0.000	0.000	0.000	-589.435	-155.081	1726.707	-666.734	-86.544	1724.581	-601.641	-96.904	1724.201
7	0.02000	0.000	0.000	0.000	0.000	0.000	0.000	-589.431	-155.084	1726.706	-666.722	-86.556	1724.585	-601.649	-96.940	1724.186
8	0.02333	0.000	0.000	0.000	0.000	0.000	0.000	-589.445	-155.115	1726.714	-666.729	-86.534	1724.587	-601.635	-96.924	1724.197
9	0.02667	0.000	0.000	0.000	0.000	0.000	0.000	-589.442	-155.070	1726.721	-666.715	-86.520	1724.590	-601.633	-96.927	1724.205
10	0.03000	0.000	0.000	0.000	0.000	0.000	0.000	-589.436	-155.123	1726.711	-666.704	-86.671	1724.488	-601.640	-96.906	1724.191
11	0.03333	0.000	0.000	0.000	0.000	0.000	0.000	-589.425	-155.104	1726.720	-666.727	-86.570	1724.524	-601.632	-96.930	1724.195
12	0.03667	0.000	0.000	0.000	0.000	0.000	0.000	-589.439	-155.103	1726.729	-666.703	-86.613	1724.515	-601.639	-96.906	1724.208
13	0.04000	0.000	0.000	0.000	0.000	0.000	0.000	-589.438	-155.092	1726.708	-666.727	-86.596	1724.542	-601.634	-96.927	1724.188
14	0.04333	0.000	0.000	0.000	0.000	0.000	0.000	-589.433	-155.084	1726.715	-666.707	-86.588	1724.545	-601.629	-96.947	1724.184
15	0.04667	0.000	0.000	0.000	0.000	0.000	0.000	-589.423	-155.107	1726.710	-666.712	-86.581	1724.542	-601.632	-96.930	1724.195
16	0.05000	0.000	0.000	0.000	0.000	0.000	0.000	-589.426	-155.107	1726.703	-666.720	-86.558	1724.579	-601.630	-96.946	1724.175
17	0.05333	0.000	0.000	0.000	0.000	0.000	0.000	-589.424	-155.107	1726.711	-666.712	-86.531	1724.574	-601.635	-96.926	1724.189
18	0.05667	0.000	0.000	0.000	0.000	0.000	0.000	-589.438	-155.123	1726.701	-666.738	-86.561	1724.571	-601.652	-96.922	1724.198
19	0.06000	0.000	0.000	0.000	0.000	0.000	0.000	-589.430	-155.085	1726.723	-666.718	-86.557	1724.563	-601.637	-96.926	1724.187
20	0.06333	0.000	0.000	0.000	0.000	0.000	0.000	-589.452	-155.092	1726.726	-666.697	-86.565	1724.588	-601.649	-96.941	1724.186
21	0.06667	0.000	0.000	0.000	0.000	0.000	0.000	-589.432	-155.087	1726.706	-666.694	-86.647	1724.492	-601.638	-96.907	1724.207
22	0.07000	0.000	0.000	0.000	0.000	0.000	0.000	-589.455	-155.093	1726.700	-666.674	-86.637	1724.498	-601.647	-96.942	1724.195
23	0.07333	0.000	0.000	0.000	0.000	0.000	0.000	-589.431	-155.084	1726.706	-666.699	-86.622	1724.526	-601.643	-96.907	1724.183
24	0.07667	0.000	0.000	0.000	0.000	0.000	0.000	-589.423	-155.108	1726.710	-666.719	-86.577	1724.533	-601.633	-96.926	1724.205
25	0.08000	0.000	0.000	0.000	0.000	0.000	0.000	-589.432	-155.080	1726.716	-666.704	-86.598	1724.543	-601.638	-96.925	1724.188
26	0.08333	0.000	0.000	0.000	0.000	0.000	0.000	-589.432	-155.083	1726.707	-666.712	-86.580	1724.545	-601.641	-96.905	1724.200
27	0.08667	0.000	0.000	0.000	0.000	0.000	0.000	-589.429	-155.087	1726.713	-666.727	-86.551	1724.550	-601.640	-96.905	1724.199
28	0.09000	0.000	0.000	0.000	0.000	0.000	0.000	-589.434	-155.081	1726.724	-666.704	-86.543	1724.559	-601.634	-96.924	1724.197
29	0.09333	0.000	0.000	0.000	0.000	0.000	0.000	-589.421	-155.094	1726.711	-666.717	-86.559	1724.568	-601.647	-96.898	1724.212
30	0.09667	0.000	0.000	0.000	0.000	0.000	0.000	-589.430	-155.085	1726.722	-666.734	-86.554	1724.574	-601.633	-96.927	1724.204
31	0.10000	0.000	0.000	0.000	0.000	0.000	0.000	-589.432	-155.083	1726.707	-666.701	-86.550	1724.583	-601.635	-96.924	1724.197
32	0.10333	0.000	0.000	0.000	0.000	0.000	0.000	-589.445	-155.103	1726.713	-666.705	-86.533	1724.586	-601.644	-96.917	1724.199
33	0.10667	0.000	0.000	0.000	0.000	0.000	0.000	-589.423	-155.092	1726.710	-666.708	-86.533	1724.577	-601.639	-96.906	1724.208
34	0.11000	0.000	0.000	0.000	0.000	0.000	0.000	-589.435	-155.095	1726.707	-666.722	-86.547	1724.568	-601.633	-96.927	1724.204
35	0.11333	0.000	0.000	0.000	0.000	0.000	0.000	-589.425	-155.103	1726.721	-666.721	-86.551	1724.559	-601.648	-96.945	1724.177
36	0.11667	0.000	0.000	0.000	0.000	0.000	0.000	-589.432	-155.082	1726.708	-666.717	-86.551	1724.583	-601.632	-96.929	1724.196
37	0.12000	0.000	0.000	0.000	0.000	0.000	0.000	-589.431	-155.083	1726.724	-666.717	-86.565	1724.565	-601.635	-96.926	1724.195
38	0.12333	0.000	0.000	0.000	0.000	0.000	0.000	-589.432	-155.087	1726.706	-666.720	-86.550	1724.581	-601.634	-96.927	1724.187
39	0.12667	0.000	0.000	0.000	0.000	0.000	0.000	-589.433	-155.084	1726.715	-666.707	-86.563	1724.584	-601.633	-96.926	1724.205
40	0.13000	0.000	0.000	0.000	0.000	0.000	0.000	-589.419	-155.125	1726.717	-666.718	-86.520	1724.586	-601.639	-96.908	1724.190
41	0.13333	0.000	0.000	0.000	0.000	0.000	0.000	-589.451	-155.093	1726.725	-666.720	-86.551	1724.580	-601.643	-96.966	1724.173
42	0.13667	0.000	0.000	0.000	0.000	0.000	0.000	-589.448	-155.082	1726.725	-666.707	-86.579	1724.558	-601.636	-96.929	1724.178
43	0.14000	0.000	0.000	0.000	0.000	0.000	0.000	-589.428	-155.106	1726.693	-666.719	-86.552	1724.574	-601.635	-96.925	1724.196
44	0.14333	0.000	0.000	0.000	0.000	0.000	0.000	-589.445	-155.102	1726.714	-666.708	-86.577	1724.561	-601.633	-96.928	1724.204
45	0.14667	0.000	0.000	0.000	0.000	0.000	0.000	-589.434	-155.085	1726.697	-666.722	-86.549	1724.566	-601.641	-96.905	1724.200
46	0.15000	0.000	0.000	0.000	0.000	0.000	0.000	-589.445	-155.099	1726.714	-666.715	-86.562	1724.581	-601.643	-96.919	1724.190
47	0.15333	0.000	0.000	0.000	0.000	0.000	0.000	-589.417	-155.117	1726.699	-666.717	-86.549	1724.590	-601.643	-96.966	1724.173
48	0.15667	0.000	0.000	0.000	0.000	0.000	0.000	-589.450	-155.086	1726.707	-666.717	-86.549	1724.591	-601.646	-96.942	1724.194
49	0.16000	0.000	0.000	0.000	0.000	0.000	0.000	-589.433	-155.080	1726.717	-666.709	-86.560	1724.575	-601.647	-96.942	1724.195
50	0.16333	0.000	0.000	0.000	0.000	0.000	0.000	-589.453	-155.093	1726.708	-666.756	-86.555	1724.583	-601.661	-96.913	1724.202
51	0.16667	0.000	0.000	0.000	0.000	0.000	0.000	-589.470	-155.003	1726.716	-666.779	-86.638	1724.510	-601.682	-96.851	1724.196
52	0.17000	0.000	0.000	0.000	0.000	0.000	0.000	-589.473	-154.894	1726.736	-666.901	-86.512	1724.553	-601.833	-96.721	1724.150
53	0.17333	0.000	0.000	0.000	0.000	0.000	0.000	-589.484	-154.665	1726.719	-667.152	-86.255	1724.616	-601.985	-96.469	1724.165
54	0.17667	0.000	0.000	0.000	0.000	0.000	0.000	-589.328	-154.437	1726.593	-667.298	-86.275	1724.568	-602.140	-96.130	1724.176
55	0.18000	0.000	0.000	0.000	0.000	0.000	0.000	-589.231	-153.791	1726.610	-667.401	-86.210	1724.517	-602.331	-95.778	1724.151
56	0.18333	0.000	0.000	0.000	0.000	0.000	0.000	-589.286	-153.367	1726.641	-667.551	-86.068	1724.493	-602.549	-95.325	1724.104
57	0.18667	0.000	0.000	0.000	0.000	0.000	0.000	-589.332	-152.890	1726.623	-667.895	-85.773	1724.539	-602.728	-95.027	1724.026
58	0.19000	0.000	0.000	0.000	0.000	0.000	0.000	-589.384	-152.475	1726.615	-668.176	-85.591	1724.542	-602.996	-94.443	1724.054
59	0.19333	0.000	0.000	0.000	0.000	0.000	0.000	-589.379	-152.114	1726.549	-668.418	-85.524	1724.501	-603.185	-94.038	1723.984
60	0.19667	0.000	0.000	0.000	0.000	0.000	0.000	-589.350	-151.629	1726.538	-668.660	-85.345	1724.496	-603.535	-93.391	1724.095
61	0.20000	0.000	0.000	0.000	0.000	0.000	0.000	-589.279	-151.151	1726.533	-668.925	-85.187	1724.537	-603.672	-93.194	1724.022
62	0.20333	0.000	0.000	0.000	0.000	0.000	0.000	-589.213	-150.794	1726.523	-669.072	-85.231	1724.503	-603.760	-93.025	1724.008
63	0.20667	0.000	0.000	0.000	0.000	0.000	0.000	-589.179	-150.651	1726.432	-669.270	-85.165	1724.492	-603.854	-92.945	1723.957
64	0.21000	0.000	0.000	0.000	0.000	0.000	0.000	-589.201	-150.399	1726.392	-669.552	-84.827	1724.555	-604.135	-92.382	1724.083
65	0.21333	0.000	0.000	0.000	0.000	0.000	0.000	-589.394	-149.637	1726.495	-669.856	-84.648	1724.522	-604.460	-91.792	1724.126
66	0.21667	0.000	0.000	0.000	0.000	0.000	0.000	-589.355	-148.830	1726.519	-670.216	-84.446	1724.536	-604.781	-91.207	1724.111
67	0.22000	0.000	0.000	0.000	0.000	0.000	0.000	-589.283	-148.319	1726.468	-670.542	-84.264	1724.548	-604.995	-90.812	1724.063
68	0.22333	0.000	0.000	0.000	0.000	0.000	0.000	-589.277	-147.615	1726.515	-670.845	-84.263	1724.472	-605.357	-90.113	1724.077
69	0.22667	0.000	0.000	0.000	0.000	0.000	0.000	-589.389	-146.981	1726.522	-671.274	-83.952	1724.510	-605.671	-89.566	1724.052
70	0.23000	0.000	0.000	0.000	0.000	0.000	0.000	-589.516	-146.267	1726.592	-671.559	-83.652	1724.499	-606.051	-88.935	1724.064
71	0.23333	0.000	0.000	0.000	0.000	0.000	0.000	-589.472	-145.813	1726.577	-671.992	-83.319	1724.580	-606.214	-88.770	1723.962
72	0.23667	0.000	0.000	0.000	0.000	0.000	0.000	-589.436	-145.246	1726.565	-672.226	-83.386	1724.503	-606.531	-88.242	1724.017
73	0.24000	0.000	0.000	0.000	0.000	0.000	0.000	-589.403	-144.725	1726.517	-672.477	-83.480	1724.443	-606.884	-87.682	1724.085
74	0.24333	0.000	0.000	0.000	0.000	0.000	0.000	-589.527	-143.974	1726.575	-672.922	-83.141	1724.531	-607.312	-86.911	1724.182
75	0.24667	0.000	0.000	0.000	0.000	0.000	0.000	-589.658	-143.399	1726.583	-673.312	-82.812	1724.598	-607.528	-86.686	1724.045
76	0.25000	0.000	0.000	0.000	0.000	0.000	0.000	-589.566	-142.692	1726.473	-673.742	-82.476	1724.614	-607.969	-86.004	1724.003
77	0.25333	0.000	0.000	0.000	0.000	0.000	0.000	-589.583	-141.978	1726.443	-674.048	-82.582	1724.468	-608.368	-85.347	1723.945
78	0.25667	0.000	0.000	0.000	0.000	0.000	0.000	-589.700	-141.042	1726.504	-674.351	-82.583	1724.367	-608.737	-84.756	1723.950
79	0.26000	0.000	0.000	0.000	0.000	0.000	0.000	-589.798	-140.544	1726.454	-674.956	-82.102	1724.427	-609.096	-84.221	1723.891
80	0.26333	0.000	0.000	0.000	0.000	0.000	0.000	-589.792	-139.912	1726.412	-675.323	-81.603	1724.511	-609.531	-83.576	1723.899
81	0.26667	0.000	0.000	0.000	0.000	0.000	0.000	-589.814	-139.298	1726.387	-675.642	-81.716	1724.415	-609.957	-82.988	1723.904
82	0.27000	0.000	0.000	0.000	0.000	0.000	0.000	-589.829	-138.596	1726.292	-676.026	-81.555	1724.373	-610.160	-82.811	1723.744
83	0.27333	0.000	0.000	0.000	0.000	0.000	0.000	-589.952	-137.866	1726.306	-676.450	-81.370	1724.414	-610.620	-82.027	1723.835
84	0.27667	0.000	0.000	0.000	0.000	0.000	0.000	-590.057	-137.324	1726.261	-676.944	-80.961	1724.519	-611.045	-81.465	1723.875
