NO_OF_FRAMES	3649
NO_OF_CAMERAS	4
NO_OF_MARKERS	12
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 14:44:57.047	64924.73091080
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6						
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
1	0.00000	458.340	-658.915	27.162	-401.466	-561.416	28.870	193.380	-491.627	28.883	249.018	-181.820	31.369	-93.259	-143.236	33.657	-239.435	-528.932	33.523	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.00333	458.363	-658.869	27.075	-401.472	-561.408	28.878	193.393	-491.602	29.004	249.003	-181.816	31.421	-93.260	-143.237	33.628	-239.449	-528.970	33.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.00667	458.347	-658.902	27.093	-401.460	-561.423	28.877	193.390	-491.627	29.043	249.022	-181.802	31.399	-93.237	-143.179	33.683	-239.472	-528.941	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.01000	458.388	-658.906	26.899	-401.453	-561.420	28.887	193.383	-491.630	28.941	248.995	-181.852	31.328	-93.249	-143.210	33.643	-239.472	-528.936	33.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.01333	458.361	-658.839	27.159	-401.441	-561.409	28.896	193.411	-491.657	29.082	248.995	-181.876	31.323	-93.239	-143.213	33.556	-239.472	-528.942	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.01667	458.335	-658.879	27.086	-401.470	-561.433	28.863	193.389	-491.612	28.978	249.009	-181.835	31.368	-93.230	-143.183	33.502	-239.443	-528.972	33.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.02000	458.345	-658.916	27.091	-401.460	-561.370	28.918	193.385	-491.595	28.934	249.019	-181.812	31.384	-93.270	-143.220	33.715	-239.435	-528.936	33.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.02333	458.349	-658.945	27.113	-401.449	-561.370	28.922	193.389	-491.587	29.017	249.019	-181.819	31.379	-93.246	-143.227	33.738	-239.464	-528.906	33.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	0.02667	458.359	-658.838	27.091	-401.481	-561.409	28.843	193.381	-491.613	28.995	249.005	-181.825	31.338	-93.276	-143.248	33.694	-239.464	-528.906	33.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	0.03000	458.418	-658.905	26.941	-401.459	-561.409	28.890	193.400	-491.641	28.953	249.022	-181.825	31.325	-93.249	-143.212	33.714	-239.441	-528.929	33.506	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11	0.03333	458.362	-658.854	27.150	-401.455	-561.418	28.868	193.400	-491.645	28.942	249.008	-181.814	31.397	-93.241	-143.228	33.623	-239.464	-528.906	33.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12	0.03667	458.332	-658.907	27.125	-401.455	-561.402	28.915	193.409	-491.638	29.072	249.013	-181.820	31.340	-93.236	-143.232	33.654	-239.466	-528.944	33.547	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13	0.04000	458.330	-658.845	27.099	-401.466	-561.430	28.926	193.393	-491.595	28.868	249.022	-181.823	31.434	-93.268	-143.164	33.782	-239.464	-528.906	33.562	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
