NO_OF_FRAMES	4967
NO_OF_CAMERAS	4
NO_OF_MARKERS	24
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-12, 16:25:26.188	56373.87175403
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5																			
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
1	0.00000	228.117	-404.129	-672.697	542.741	-397.729	-680.825	106.245	13.977	-656.787	55.143	118.707	-655.899	534.250	-99.127	-672.364	550.832	772.858	613.297	512.458	405.012	1316.219	616.731	618.236	1554.209	530.056	465.864	520.648	568.372	517.003	1246.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.00333	228.054	-404.179	-672.650	542.765	-397.745	-680.874	106.264	13.933	-656.782	55.145	118.653	-655.930	534.243	-99.149	-672.439	547.163	774.332	603.359	511.823	404.353	1310.278	616.459	619.917	1555.061	533.551	466.869	531.615	568.800	516.384	1254.482	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.00667	228.054	-404.150	-672.633	542.772	-397.733	-680.775	106.233	13.949	-656.803	55.142	118.653	-655.931	534.322	-99.119	-672.282	543.388	775.626	593.337	511.086	403.768	1304.218	616.048	621.636	1555.988	537.022	467.812	542.852	569.149	515.730	1262.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.01000	228.082	-404.184	-672.674	542.741	-397.740	-680.801	106.219	13.969	-656.830	55.149	118.673	-655.913	534.181	-99.207	-672.484	539.638	776.520	583.419	511.103	402.691	1298.712	615.660	623.217	1556.607	540.422	468.832	554.464	569.546	515.038	1269.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.01333	228.025	-404.175	-672.654	542.771	-397.732	-680.775	106.253	13.980	-656.793	55.136	118.650	-655.916	534.242	-99.153	-672.380	536.500	776.953	573.831	510.751	401.871	1292.465	615.215	624.852	1557.181	543.680	469.989	566.489	569.869	514.399	1277.207	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.01667	228.092	-404.197	-672.654	542.760	-397.710	-680.768	106.239	13.956	-656.780	55.112	118.648	-655.930	534.272	-99.175	-672.296	533.308	777.341	564.436	509.990	401.430	1285.967	614.857	626.492	1557.619	546.836	471.253	578.743	570.131	513.907	1284.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.02000	228.036	-404.204	-672.631	542.768	-397.726	-680.729	106.232	13.963	-656.825	55.152	118.622	-655.900	534.282	-99.200	-672.345	530.178	777.404	555.430	509.509	400.752	1279.509	614.423	628.203	1557.880	549.627	472.491	591.082	570.461	513.283	1291.722	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.02333	228.060	-404.135	-672.669	542.762	-397.720	-680.768	106.206	13.954	-656.822	55.234	118.643	-655.826	534.243	-99.176	-672.362	527.124	776.464	547.033	508.669	400.226	1272.894	614.072	629.801	1558.074	551.843	474.090	603.545	571.297	512.439	1299.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	0.02667	228.038	-404.124	-672.726	542.766	-397.711	-680.800	106.231	13.954	-656.801	55.183	118.660	-655.864	534.149	-99.185	-672.454	524.601	774.952	538.809	507.958	399.582	1266.176	613.680	631.488	1558.115	554.126	475.540	616.416	571.556	511.871	1306.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	0.03000	228.065	-404.147	-672.662	542.787	-397.722	-680.718	106.207	13.959	-656.808	55.109	118.644	-655.946	534.203	-99.192	-672.387	522.938	772.989	530.518	507.265	398.927	1259.316	613.271	633.212	1558.114	556.209	476.842	629.306	571.798	511.242	1313.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
