NO_OF_FRAMES	6282
NO_OF_CAMERAS	4
NO_OF_MARKERS	11
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 15:41:33.098	68320.78217323
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6					
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
1	0.00000	458.418	-659.049	26.654	-401.532	-561.517	28.583	193.445	-491.683	28.689	249.083	-181.895	30.998	-93.210	-143.301	33.376	-239.498	-529.054	33.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.00333	458.408	-659.043	26.657	-401.519	-561.533	28.609	193.455	-491.663	28.611	249.075	-181.894	31.017	-93.245	-143.269	33.416	-239.498	-529.054	33.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.00667	458.435	-659.072	26.542	-401.517	-561.545	28.569	193.441	-491.686	28.692	249.087	-181.888	31.037	-93.264	-143.351	33.375	-239.490	-529.018	33.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.01000	458.390	-659.039	26.689	-401.493	-561.534	28.575	193.432	-491.679	28.649	249.073	-181.860	31.046	-93.268	-143.258	33.387	-239.475	-529.083	33.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.01333	458.406	-659.031	26.689	-401.522	-561.518	28.567	193.448	-491.658	28.561	249.077	-181.850	31.085	-93.244	-143.299	33.332	-239.475	-529.083	33.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.01667	458.429	-659.022	26.614	-401.507	-561.508	28.584	193.452	-491.701	28.729	249.064	-181.881	31.023	-93.235	-143.283	33.338	-239.481	-529.085	33.077	511.943	249.011	412.806	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.02000	458.428	-659.058	26.595	-401.520	-561.517	28.572	193.459	-491.650	28.729	249.077	-181.864	31.021	-93.243	-143.276	33.415	-239.490	-529.018	33.140	506.950	249.874	427.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.02333	458.414	-659.008	26.628	-401.514	-561.493	28.597	193.439	-491.658	28.675	249.095	-181.868	31.079	-93.281	-143.316	33.402	-239.475	-529.087	33.093	502.140	250.779	443.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	0.02667	458.412	-658.966	26.594	-401.502	-561.509	28.584	193.429	-491.665	28.665	249.070	-181.862	31.083	-93.232	-143.315	33.340	-239.475	-529.082	33.074	501.306	247.142	466.994	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	0.03000	458.425	-659.040	26.694	-401.511	-561.519	28.591	193.442	-491.685	28.664	249.088	-181.898	31.022	-93.248	-143.279	33.360	-239.485	-529.025	33.174	496.893	248.151	482.648	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
