motor_timestamp,motor_position,arduino_timestamp,arduino_position
1739940628.2299,-0.083720326423645,1739940628.15196,-53.995
1739940628.23997,-0.083720326423645,1739940628.20241,-53.995
1739940628.25004,-0.083720326423645,1739940628.25284,-53.995
1739940628.26011,-0.083720326423645,1739940628.30326,-53.995
1739940628.27018,-0.083720326423645,1739940628.35426,-53.995
1739940628.28025,-0.083720326423645,1739940628.40496,-53.995
1739940628.29034,-0.083720326423645,1739940628.45556,-53.995
1739940628.30044,-0.083720326423645,1739940628.5069,-53.995
1739940628.31054,-0.083720326423645,1739940628.55751,-53.995
1739940628.32066,-0.083720326423645,1739940628.60807,-53.995
1739940628.33079,-0.083720326423645,1739940628.65859,-53.995
1739940628.34094,-0.083720326423645,1739940628.70918,-53.995
1739940628.35105,-0.083720326423645,1739940628.7598,-53.995
1739940628.36113,-0.083720326423645,1739940628.81022,-53.995
1739940628.37127,-0.083720326423645,1739940628.86107,-53.995
1739940628.38136,-0.083720326423645,1739940628.91164,-53.995
1739940628.39146,-0.083720326423645,1739940628.9622,-53.995
1739940628.40154,-0.083720326423645,1739940629.01291,-53.995
1739940628.41162,-0.083720326423645,1739940629.06444,-53.995
1739940628.42171,-0.083720326423645,1739940629.11494,-53.995
1739940628.43183,-0.083720326423645,1739940629.14535,-53
1739940628.44194,-0.083720326423645,1739940629.16544,995
1739940628.45205,-0.083720326423645,1739940629.19576,-53.995
1739940628.46214,-0.083720326423645,1739940629.24616,-53.995
1739940628.47224,-0.083720326423645,1739940629.29654,-53.995
1739940628.48234,-0.083720326423645,1739940629.35661,-53.995
1739940628.49246,-0.083720326423645,1739940629.40715,-53.995
1739940628.50255,-0.083720326423645,1739940629.45864,-53.995
1739940628.51262,-0.083720326423645,1739940629.50928,-53.995
1739940628.52271,-0.083720326423645,1739940629.55978,-53.995
1739940628.53282,-0.083720326423645,1739940629.61036,-53.995
1739940628.54293,-0.083720326423645,1739940629.66103,-53.995
1739940628.55302,-0.083720326423645,1739940629.71175,-53.995
1739940628.56309,-0.083720326423645,1739940629.76237,-53.995
1739940628.57317,-0.083720326423645,1739940629.81413,-53.995
1739940628.58326,-0.083720326423645,1739940629.8647,-53.995
1739940628.59337,-0.083720326423645,1739940629.91527,-53.995
1739940628.60349,-0.083720326423645,1739940629.96735,-53.995
1739940628.6136,-0.083720326423645,1739940630.01799,-53.995
1739940628.62374,-0.083720326423645,1739940630.04846,
1739940628.63386,-0.083720326423645,1739940630.06901,53.995
1739940628.64409,-0.083720326423645,1739940630.09963,-53.995
1739940628.65417,-0.083720326423645,1739940630.15962,-53.995
1739940628.66426,-0.083720326423645,1739940630.21026,-53.995
1739940628.67437,-0.083720326423645,1739940630.26086,-53.995
1739940628.68446,-0.083720326423645,1739940630.31148,-53.995
1739940628.69455,-0.083720326423645,1739940630.36203,-53.995
1739940628.70464,-0.083720326423645,1739940630.41251,-53.995
1739940628.71472,-0.083720326423645,1739940630.46313,-53.995
1739940628.72483,-0.083720326423645,1739940630.51362,-53.995
1739940628.73493,-0.083720326423645,1739940630.56415,-53.995
1739940628.74514,-0.083720326423645,1739940630.61473,-53.995
1739940628.75522,-0.083720326423645,1739940630.66515,-53.995
1739940628.7653,-0.083720326423645,1739940630.71567,-53.995
1739940628.7754,-0.083720326423645,1739940630.76624,-53.995
1739940628.78549,-0.083720326423645,1739940630.81676,-53.995
1739940628.79558,-0.083720326423645,1739940630.86735,-53.995
1739940628.80569,-0.083720326423645,1739940630.9179,-53.995
1739940628.81598,-0.083720326423645,1739940630.96852,-53.995
1739940628.82619,-0.083720326423645,1739940631.01912,-53.995
1739940628.83632,-0.083720326423645,1739940631.06966,-53.995
1739940628.84646,-0.083720326423645,1739940631.12013,-53.995
1739940628.85658,-0.083720326423645,1739940631.17087,-53.995
1739940628.8667,-0.083720326423645,1739940631.22153,-53.995
1739940628.8768,-0.083720326423645,1739940631.27229,-53.995
1739940628.8869,-0.083720326423645,1739940631.32295,-53.99
1739940628.89702,-0.083720326423645,1739940631.35529,-53.955
1739940628.90713,-0.083720326423645,1739940631.41421,-52.94
1739940628.91721,-0.083720326423645,1739940631.46478,-50.9
1739940628.92732,-0.083720326423645,1739940631.51537,-49.845
1739940628.93745,-0.083720326423645,1739940631.56595,-47.46
1739940628.94762,-0.083720326423645,1739940631.6165,-45.265
1739940628.95786,-0.083720326423645,1739940631.66711,-41.805
1739940628.96819,-0.083720326423645,1739940631.71775,-38.405
1739940628.9783,-0.083720326423645,1739940631.769,-34.75
1739940628.9884,-0.083720326423645,1739940631.81951,-30.86
1739940628.99854,-0.083720326423645,1739940631.87004,-27.29
1739940629.00864,-0.083720326423645,1739940631.92057,-23.67
1739940629.01872,-0.083720326423645,1739940631.97111,-20.245
1739940629.02882,-0.083720326423645,1739940632.02174,-16.305
1739940629.03892,-0.083720326423645,1739940632.0734,-13.035
1739940629.049,-0.083720326423645,1739940632.12394,-9.505
